cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper
A,0,1,2023-02-17,2023-02-24,3.0,4.969611167907715,0.0,11.934785842895508
A,0,1,2023-02-24,2023-03-03,6.0,4.432326316833496,0.0,11.397500991821289
A,0,1,2023-03-03,2023-03-10,5.0,4.034217357635498,0.0,10.99939250946045
A,0,1,2023-03-10,2023-03-17,3.0,3.243988513946533,0.0,10.209163665771484
A,0,1,2023-03-17,2023-03-24,2.0,2.984042167663574,0.0,9.949216842651367
A,0,1,2023-03-24,2023-03-31,1.0,3.0260024070739746,0.0,9.991177558898926
A,0,1,2023-03-31,2023-04-07,2.0,2.958378791809082,0.0,9.923553466796875
A,0,1,2023-04-07,2023-04-14,3.0,2.864330291748047,0.0,9.829505920410156
A,0,1,2023-04-14,2023-04-21,1.0,2.5794453620910645,0.0,9.544620513916016
A,0,1,2023-04-21,2023-04-28,1.0,2.68533992767334,0.0,9.650514602661133
A,0,1,2023-04-28,2023-05-05,0.0,2.4922752380371094,0.0,9.457450866699219
A,0,1,2023-05-05,2023-05-12,1.0,2.620811939239502,0.0,9.585987091064453
A,0,1,2023-05-12,2023-05-19,2.0,3.237544059753418,0.0,10.202718734741211
A,0,1,2023-05-19,2023-05-26,2.0,4.273217678070068,0.8486485481262207,11.23839282989502
A,0,1,2023-05-26,2023-06-02,2.0,4.6896891593933105,1.265120029449463,11.654864311218262
A,0,1,2023-06-02,2023-06-09,7.0,5.137314796447754,1.7127456665039062,12.102489471435547
A,0,1,2023-06-09,2023-06-16,3.0,6.631412029266357,3.2068428993225098,13.596587181091309
A,0,1,2023-06-16,2023-06-23,12.0,7.211611270904541,3.7870421409606934,14.176786422729492
A,0,1,2023-06-23,2023-06-30,5.0,8.122118949890137,4.697549819946289,15.08729362487793
A,0,1,2023-06-30,2023-07-07,9.0,9.035134315490723,5.403722286224365,16.000308990478516
A,0,1,2023-07-07,2023-07-14,13.0,10.388480186462402,6.757068157196045,17.353654861450195
A,0,1,2023-07-14,2023-07-21,13.0,12.979132652282715,9.347721099853516,19.944307327270508
A,0,1,2023-07-21,2023-07-28,21.0,15.903379440307617,12.271966934204102,22.868555068969727
A,0,1,2023-07-28,2023-08-04,13.0,21.300935745239258,17.669523239135742,28.266111373901367
A,0,1,2023-08-04,2023-08-11,17.0,23.887571334838867,20.25615882873535,30.852746963500977
A,0,1,2023-08-11,2023-08-18,22.0,25.028156280517578,21.396743774414062,31.993331909179688
A,0,1,2023-08-18,2023-08-25,27.0,25.800262451171875,17.499326705932617,32.765438079833984
A,0,1,2023-08-25,2023-09-01,17.0,25.29718017578125,16.996244430541992,32.26235580444336
A,0,1,2023-09-01,2023-09-08,22.0,26.170080184936523,17.869144439697266,33.13525390625
A,0,1,2023-09-08,2023-09-15,16.0,22.263608932495117,13.96267318725586,29.228784561157227
A,0,1,2023-09-15,2023-09-22,16.0,19.22188377380371,10.920948028564453,26.18705940246582
A,0,1,2023-09-22,2023-09-29,12.0,20.443729400634766,12.142793655395508,27.408905029296875
A,0,1,2023-09-29,2023-10-06,26.0,18.752309799194336,10.451374053955078,25.717485427856445
A,0,1,2023-10-06,2023-10-13,14.0,15.39594554901123,7.095009803771973,22.361120223999023
A,0,1,2023-10-13,2023-10-20,17.0,12.386691093444824,3.9429616928100586,19.351865768432617
A,0,1,2023-10-20,2023-10-27,8.0,11.00763988494873,2.563910484313965,18.255329132080078
A,0,1,2023-10-27,2023-11-03,18.0,10.288654327392578,1.8449249267578125,17.536344528198242
A,0,1,2023-11-03,2023-11-10,18.0,8.82629108428955,0.38256168365478516,16.07398223876953
A,0,1,2023-11-10,2023-11-17,15.0,8.398463249206543,0.0,15.646153450012207
A,0,1,2023-11-17,2023-11-24,9.0,7.938283920288086,0.0,15.649629592895508
A,0,1,2023-11-24,2023-12-01,7.0,7.714418411254883,0.0,16.888126373291016
A,0,1,2023-12-01,2023-12-08,6.0,6.695249557495117,0.0,15.868958473205566
A,0,1,2023-12-08,2023-12-15,7.0,6.035885810852051,0.0,15.2095947265625
A,0,1,2023-12-15,2023-12-22,6.0,5.693187713623047,0.0,14.866896629333496
A,0,1,2023-12-22,2023-12-29,8.0,5.3661017417907715,0.0,14.539810180664062
A,0,1,2023-12-29,2024-01-05,12.0,5.698702812194824,0.0,14.872411727905273
A,0,1,2024-01-05,2024-01-12,9.0,5.314168930053711,0.0,14.48787784576416
A,0,1,2024-01-12,2024-01-19,8.0,4.735226631164551,0.0,13.908935546875
A,0,1,2024-01-19,2024-01-26,3.0,4.629257678985596,0.0,13.802967071533203
A,0,1,2024-01-26,2024-02-02,3.0,4.344420433044434,0.0,13.518129348754883
A,0,1,2024-02-02,2024-02-09,3.0,4.116062164306641,0.0,13.28977108001709
A,0,1,2024-02-09,2024-02-16,8.0,3.2551913261413574,0.0,12.428899765014648
A,0,1,2024-02-16,2024-02-23,7.0,2.5679500102996826,0.0,11.741659164428711
A,0,1,2024-02-23,2024-03-01,5.0,2.290546417236328,0.0,11.464255332946777
A,0,1,2024-03-01,2024-03-08,6.0,2.1368188858032227,0.0,11.310527801513672
A,0,1,2024-03-08,2024-03-15,6.0,1.9367843866348267,0.0,11.110493659973145
A,0,1,2024-03-15,2024-03-22,4.0,1.7493230104446411,0.0,10.9230318069458
A,0,1,2024-03-22,2024-03-29,2.0,1.5821740627288818,0.0,10.75588321685791
A,0,1,2024-03-29,2024-04-05,3.0,1.3847384452819824,0.0,10.558446884155273
A,0,1,2024-04-05,2024-04-12,10.0,1.0806063413619995,0.0,10.254315376281738
A,0,1,2024-04-12,2024-04-19,5.0,1.2851678133010864,0.0,10.458876609802246
A,0,1,2024-04-19,2024-04-26,1.0,0.7187677025794983,0.0,9.892477035522461
A,0,1,2024-04-26,2024-05-03,6.0,0.5728210806846619,0.0,9.746529579162598
A,0,1,2024-05-03,2024-05-10,3.0,0.5521810054779053,0.0,9.725890159606934
A,0,1,2024-05-10,2024-05-17,8.0,0.7758586406707764,0.0,9.949567794799805
A,0,1,2024-05-17,2024-05-24,2.0,1.2694892883300781,0.0,10.443198204040527
A,0,1,2024-05-24,2024-05-31,4.0,1.6634669303894043,0.0,10.837175369262695
A,0,1,2024-05-31,2024-06-07,2.0,2.492569923400879,0.0,11.666278839111328
A,0,1,2024-06-07,2024-06-14,2.0,3.3957056999206543,0.0,12.569414138793945
A,0,1,2024-06-14,2024-06-21,4.0,4.858136177062988,0.0,14.031845092773438
A,0,1,2024-06-21,2024-06-28,6.0,6.232102394104004,0.0,15.405811309814453
A,0,1,2024-06-28,2024-07-05,6.0,7.288965225219727,0.0,16.46267318725586
A,0,1,2024-07-05,2024-07-12,5.0,8.860630989074707,0.4169015884399414,18.034339904785156
A,0,1,2024-07-12,2024-07-19,11.0,9.885222434997559,1.441493034362793,19.058931350708008
A,0,1,2024-07-19,2024-07-26,6.0,11.115374565124512,2.671645164489746,20.28908348083496
A,0,1,2024-07-26,2024-08-02,16.0,11.912444114685059,3.468714714050293,21.086153030395508
A,0,1,2024-08-02,2024-08-09,8.0,13.45938777923584,5.015658378601074,22.63309669494629
A,0,1,2024-08-09,2024-08-16,13.0,14.433314323425293,5.989584922790527,23.607023239135742
