cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper,forecast_start
A,0,2,2023-02-17,2023-03-03,0.0,0.09438598146190258,0.0,2.8284654778987015,2023-03-03
A,0,2,2023-02-24,2023-03-10,0.0,0.05183685399608481,0.0,2.785916350432884,2023-03-10
A,0,2,2023-03-03,2023-03-17,0.0,0.03772457659175161,0.0,2.7718040730285507,2023-03-17
A,0,2,2023-03-10,2023-03-24,0.0,0.0399592648114164,0.0,2.7740387612482156,2023-03-24
A,0,2,2023-03-17,2023-03-31,0.0,0.03952897557207382,0.0,2.773608472008873,2023-03-31
A,0,2,2023-03-24,2023-04-07,1.0,0.03284990280704984,0.0,2.766929399243849,2023-04-07
A,0,2,2023-03-31,2023-04-14,0.0,0.03347150097658123,0.0,2.7675509974133803,2023-04-14
A,0,2,2023-04-07,2023-04-21,0.0,0.05827740686197219,0.0,2.792356903298771,2023-04-21
A,0,2,2023-04-14,2023-04-28,0.0,0.31356658275327437,0.0,3.0476460791900735,2023-04-28
A,0,2,2023-04-21,2023-05-05,0.0,0.13546548558866028,0.0,2.8695449820254595,2023-05-05
A,0,2,2023-04-28,2023-05-12,0.0,0.08505323906980142,0.0,2.8191327355066007,2023-05-12
A,0,2,2023-05-05,2023-05-19,0.0,0.2614771816220645,0.0,2.995556678058864,2023-05-19
A,0,2,2023-05-12,2023-05-26,1.0,0.2414795181736194,0.0,2.9755590146104187,2023-05-26
A,0,2,2023-05-19,2023-06-02,0.0,0.1470646747341663,0.0,2.8811441711709653,2023-06-02
A,0,2,2023-05-26,2023-06-09,0.0,0.5430913696105351,0.0,3.277170866047334,2023-06-09
A,0,2,2023-06-02,2023-06-16,1.0,0.41577061264101883,0.0,3.149850109077818,2023-06-16
A,0,2,2023-06-09,2023-06-23,1.0,1.710423565963814,0.0,4.444503062400614,2023-06-23
A,0,2,2023-06-16,2023-06-30,0.0,0.32546968671541937,0.0,3.0595491831522184,2023-06-30
A,0,2,2023-06-23,2023-07-07,0.0,0.6123117809180831,0.0,3.3463912773548823,2023-07-07
A,0,2,2023-06-30,2023-07-14,2.0,1.0537294313517345,0.0,3.7878089277885336,2023-07-14
A,0,2,2023-07-07,2023-07-21,0.0,0.42350629510270227,0.0,3.1575857915395016,2023-07-21
A,0,2,2023-07-14,2023-07-28,0.0,1.3781319599107036,0.0,4.112211456347502,2023-07-28
A,0,2,2023-07-21,2023-08-04,0.0,2.3436571221002644,0.6268422011469097,5.077736618537063,2023-08-04
A,0,2,2023-07-28,2023-08-11,7.0,3.5834954346775625,1.8666805137242077,6.317574931114361,2023-08-11
A,0,2,2023-08-04,2023-08-18,1.0,1.5045202958055433,0.0,4.238599792242343,2023-08-18
A,0,2,2023-08-11,2023-08-25,1.0,0.9880238680759714,0.0,3.722103364512771,2023-08-25
A,0,2,2023-08-18,2023-09-01,0.0,1.1304172672476172,0.0,3.864496763684416,2023-09-01
A,0,2,2023-08-25,2023-09-08,1.0,2.6750029142088225,0.3313457921085581,6.09150747953126,2023-09-08
A,0,2,2023-09-01,2023-09-15,4.0,2.3809355633057265,0.03727844120546209,5.797440128628164,2023-09-15
A,0,2,2023-09-08,2023-09-22,0.0,1.2503380440583303,0.0,4.666842609380768,2023-09-22
A,0,2,2023-09-15,2023-09-29,1.0,0.5988548252080392,0.0,4.0153593905304765,2023-09-29
A,0,2,2023-09-22,2023-10-06,0.0,0.8938300753050863,0.0,4.310334640627524,2023-10-06
A,0,2,2023-09-29,2023-10-13,1.0,1.236681196249121,0.0,4.653185761571558,2023-10-13
A,0,2,2023-10-06,2023-10-20,0.0,0.30954192700109556,0.0,3.7260464923235332,2023-10-20
